dogBreed,dogBreedLabel,countryLabel,height,heightQualifier,mass,massQualifier,lifeExpectancy,lifeExpectancyQualifier
http://www.wikidata.org/entity/Q38418,английский мастиф,Англия,30,http://www.wikidata.org/entity/Q10585806,230,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q38418,английский мастиф,Англия,27.5,http://www.wikidata.org/entity/Q10585806,230,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q38418,английский мастиф,Англия,30,http://www.wikidata.org/entity/Q10585806,170,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q38418,английский мастиф,Англия,27.5,http://www.wikidata.org/entity/Q10585806,170,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q38418,английский мастиф,Англия,30,http://www.wikidata.org/entity/Q10585806,160,http://www.wikidata.org/entity/Q10585806,,
http://www.wikidata.org/entity/Q38418,английский мастиф,Англия,27.5,http://www.wikidata.org/entity/Q10585806,160,http://www.wikidata.org/entity/Q10585806,,
http://www.wikidata.org/entity/Q38418,английский мастиф,Англия,30,http://www.wikidata.org/entity/Q10585806,120,http://www.wikidata.org/entity/Q10585806,,
http://www.wikidata.org/entity/Q38418,английский мастиф,Англия,27.5,http://www.wikidata.org/entity/Q10585806,120,http://www.wikidata.org/entity/Q10585806,,
http://www.wikidata.org/entity/Q37866,русская псовая борзая,Россия,78,http://www.wikidata.org/entity/Q80994,100,,,
http://www.wikidata.org/entity/Q37866,русская псовая борзая,Россия,78,http://www.wikidata.org/entity/Q10578722,100,,,
http://www.wikidata.org/entity/Q37866,русская псовая борзая,Россия,68,http://www.wikidata.org/entity/Q80994,100,,,
http://www.wikidata.org/entity/Q37866,русская псовая борзая,Россия,68,http://www.wikidata.org/entity/Q10585806,100,,,
http://www.wikidata.org/entity/Q37866,русская псовая борзая,Россия,85,http://www.wikidata.org/entity/Q80994,100,,,
http://www.wikidata.org/entity/Q37866,русская псовая борзая,Россия,85,http://www.wikidata.org/entity/Q10578722,100,,,
http://www.wikidata.org/entity/Q37866,русская псовая борзая,Россия,75,http://www.wikidata.org/entity/Q80994,100,,,
http://www.wikidata.org/entity/Q37866,русская псовая борзая,Россия,75,http://www.wikidata.org/entity/Q10585806,100,,,
http://www.wikidata.org/entity/Q5414,Немецкий дог,Германия,90,http://www.wikidata.org/entity/Q10578722,90,http://www.wikidata.org/entity/Q10578722,9,
http://www.wikidata.org/entity/Q5414,Немецкий дог,Германия,72,http://www.wikidata.org/entity/Q10585806,90,http://www.wikidata.org/entity/Q10578722,9,
http://www.wikidata.org/entity/Q5414,Немецкий дог,Германия,84,http://www.wikidata.org/entity/Q10578722,90,http://www.wikidata.org/entity/Q10578722,9,
http://www.wikidata.org/entity/Q5414,Немецкий дог,Германия,80,http://www.wikidata.org/entity/Q10585806,90,http://www.wikidata.org/entity/Q10578722,9,
http://www.wikidata.org/entity/Q5414,Немецкий дог,Германия,90,http://www.wikidata.org/entity/Q10578722,70,http://www.wikidata.org/entity/Q10578722,9,
http://www.wikidata.org/entity/Q5414,Немецкий дог,Германия,72,http://www.wikidata.org/entity/Q10585806,70,http://www.wikidata.org/entity/Q10578722,9,
http://www.wikidata.org/entity/Q5414,Немецкий дог,Германия,84,http://www.wikidata.org/entity/Q10578722,70,http://www.wikidata.org/entity/Q10578722,9,
http://www.wikidata.org/entity/Q5414,Немецкий дог,Германия,80,http://www.wikidata.org/entity/Q10585806,70,http://www.wikidata.org/entity/Q10578722,9,
http://www.wikidata.org/entity/Q37737,Брогольмер,Дания,75,,70,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q37737,Брогольмер,Дания,70,,70,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q38529,неаполитанский мастиф,Древний Рим,75,http://www.wikidata.org/entity/Q10578722,70,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q38529,неаполитанский мастиф,Древний Рим,68,http://www.wikidata.org/entity/Q10578722,70,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q38529,неаполитанский мастиф,Древний Рим,65,http://www.wikidata.org/entity/Q10585806,70,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q38529,неаполитанский мастиф,Древний Рим,60,http://www.wikidata.org/entity/Q10585806,70,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,71,http://www.wikidata.org/entity/Q10585806,65,http://www.wikidata.org/entity/Q10578722,13,http://www.wikidata.org/entity/Q10578722
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,71,http://www.wikidata.org/entity/Q10585806,65,http://www.wikidata.org/entity/Q10578722,10,http://www.wikidata.org/entity/Q10585806
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,81,http://www.wikidata.org/entity/Q10578722,65,http://www.wikidata.org/entity/Q10578722,13,http://www.wikidata.org/entity/Q10578722
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,81,http://www.wikidata.org/entity/Q10578722,65,http://www.wikidata.org/entity/Q10578722,10,http://www.wikidata.org/entity/Q10585806
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,79,http://www.wikidata.org/entity/Q10578722,65,http://www.wikidata.org/entity/Q10578722,13,http://www.wikidata.org/entity/Q10578722
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,79,http://www.wikidata.org/entity/Q10578722,65,http://www.wikidata.org/entity/Q10578722,10,http://www.wikidata.org/entity/Q10585806
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,74,http://www.wikidata.org/entity/Q10585806,65,http://www.wikidata.org/entity/Q10578722,13,http://www.wikidata.org/entity/Q10578722
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,74,http://www.wikidata.org/entity/Q10585806,65,http://www.wikidata.org/entity/Q10578722,10,http://www.wikidata.org/entity/Q10585806
http://www.wikidata.org/entity/Q38467,Кувас,Венгрия,66,http://www.wikidata.org/entity/Q10585806,62,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q38467,Кувас,Венгрия,70,http://www.wikidata.org/entity/Q10578722,62,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q38467,Кувас,Венгрия,71,http://www.wikidata.org/entity/Q10585806,62,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q38467,Кувас,Венгрия,76,http://www.wikidata.org/entity/Q10578722,62,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q5414,Немецкий дог,Германия,90,http://www.wikidata.org/entity/Q10578722,60,http://www.wikidata.org/entity/Q10585806,9,
http://www.wikidata.org/entity/Q5414,Немецкий дог,Германия,72,http://www.wikidata.org/entity/Q10585806,60,http://www.wikidata.org/entity/Q10585806,9,
http://www.wikidata.org/entity/Q5414,Немецкий дог,Германия,84,http://www.wikidata.org/entity/Q10578722,60,http://www.wikidata.org/entity/Q10585806,9,
http://www.wikidata.org/entity/Q5414,Немецкий дог,Германия,80,http://www.wikidata.org/entity/Q10585806,60,http://www.wikidata.org/entity/Q10585806,9,
http://www.wikidata.org/entity/Q37737,Брогольмер,Дания,75,,60,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q37737,Брогольмер,Дания,70,,60,http://www.wikidata.org/entity/Q10578722,,
