dogBreed,dogBreedLabel,countryLabel,height,heightQualifierLabel,mass,massQualifierLabel,lifeExpectancy,lifeExpectancyQualifierLabel
http://www.wikidata.org/entity/Q21080,Афганская борзая,Афганистан,63,взрослый,23,взрослый,14,максимум
http://www.wikidata.org/entity/Q21080,Афганская борзая,Афганистан,63,взрослый,23,взрослый,12,минимум
http://www.wikidata.org/entity/Q21080,Афганская борзая,Афганистан,63,взрослый,27,взрослый,14,максимум
http://www.wikidata.org/entity/Q21080,Афганская борзая,Афганистан,63,взрослый,27,взрослый,12,минимум
http://www.wikidata.org/entity/Q21080,Афганская борзая,Афганистан,68,взрослый,23,взрослый,14,максимум
http://www.wikidata.org/entity/Q21080,Афганская борзая,Афганистан,68,взрослый,23,взрослый,12,минимум
http://www.wikidata.org/entity/Q21080,Афганская борзая,Афганистан,68,взрослый,27,взрослый,14,максимум
http://www.wikidata.org/entity/Q21080,Афганская борзая,Афганистан,68,взрослый,27,взрослый,12,минимум
http://www.wikidata.org/entity/Q7254,Аффенпинчер,Германия,30,максимум,4,минимум,15,максимум
http://www.wikidata.org/entity/Q7254,Аффенпинчер,Германия,30,максимум,4,минимум,12,минимум
http://www.wikidata.org/entity/Q21080,Афганская борзая,Афганистан,63,минимум,23,среднее значение,14,максимум
http://www.wikidata.org/entity/Q21080,Афганская борзая,Афганистан,63,минимум,23,среднее значение,12,минимум
http://www.wikidata.org/entity/Q21080,Афганская борзая,Афганистан,63,минимум,27,среднее значение,14,максимум
http://www.wikidata.org/entity/Q21080,Афганская борзая,Афганистан,63,минимум,27,среднее значение,12,минимум
http://www.wikidata.org/entity/Q21206,Аляскинский маламут,Аляска,58.5,,34,,12,максимум
http://www.wikidata.org/entity/Q21206,Аляскинский маламут,Аляска,58.5,,38,,12,максимум
http://www.wikidata.org/entity/Q21206,Аляскинский маламут,Аляска,58.5,,34,,10,минимум
http://www.wikidata.org/entity/Q21206,Аляскинский маламут,Аляска,58.5,,38,,10,минимум
http://www.wikidata.org/entity/Q21206,Аляскинский маламут,Аляска,63.5,,34,,12,максимум
http://www.wikidata.org/entity/Q21206,Аляскинский маламут,Аляска,63.5,,38,,12,максимум
http://www.wikidata.org/entity/Q21206,Аляскинский маламут,Аляска,63.5,,34,,10,минимум
http://www.wikidata.org/entity/Q21206,Аляскинский маламут,Аляска,63.5,,38,,10,минимум
http://www.wikidata.org/entity/Q21080,Афганская борзая,Афганистан,68,минимум,23,среднее значение,14,максимум
http://www.wikidata.org/entity/Q21080,Афганская борзая,Афганистан,68,минимум,23,среднее значение,12,минимум
http://www.wikidata.org/entity/Q21080,Афганская борзая,Афганистан,68,минимум,27,среднее значение,14,максимум
http://www.wikidata.org/entity/Q21080,Афганская борзая,Афганистан,68,минимум,27,среднее значение,12,минимум
http://www.wikidata.org/entity/Q21080,Афганская борзая,Афганистан,69,максимум,23,взрослый,14,максимум
http://www.wikidata.org/entity/Q21080,Афганская борзая,Афганистан,69,максимум,23,взрослый,12,минимум
http://www.wikidata.org/entity/Q21080,Афганская борзая,Афганистан,69,максимум,27,взрослый,14,максимум
