dogBreed,dogBreedLabel,countryLabel,height,mass,lifeExpectancy
http://www.wikidata.org/entity/Q5414,Немецкий дог,Германия,72,90,9
http://www.wikidata.org/entity/Q5414,Немецкий дог,Германия,80,90,9
http://www.wikidata.org/entity/Q5414,Немецкий дог,Германия,84,90,9
http://www.wikidata.org/entity/Q5414,Немецкий дог,Германия,90,90,9
http://www.wikidata.org/entity/Q5414,Немецкий дог,Германия,72,70,9
http://www.wikidata.org/entity/Q5414,Немецкий дог,Германия,80,70,9
http://www.wikidata.org/entity/Q5414,Немецкий дог,Германия,84,70,9
http://www.wikidata.org/entity/Q5414,Немецкий дог,Германия,90,70,9
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,71,65,13
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,74,65,13
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,79,65,13
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,81,65,13
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,71,65,10
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,74,65,10
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,79,65,10
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,81,65,10
http://www.wikidata.org/entity/Q5414,Немецкий дог,Германия,72,60,9
http://www.wikidata.org/entity/Q5414,Немецкий дог,Германия,80,60,9
http://www.wikidata.org/entity/Q5414,Немецкий дог,Германия,84,60,9
http://www.wikidata.org/entity/Q5414,Немецкий дог,Германия,90,60,9
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,71,55,13
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,74,55,13
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,79,55,13
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,81,55,13
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,71,55,10
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,74,55,10
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,79,55,10
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,81,55,10
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,71,50,13
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,74,50,13
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,79,50,13
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,81,50,13
http://www.wikidata.org/entity/Q5414,Немецкий дог,Германия,72,50,9
http://www.wikidata.org/entity/Q5414,Немецкий дог,Германия,80,50,9
http://www.wikidata.org/entity/Q5414,Немецкий дог,Германия,84,50,9
http://www.wikidata.org/entity/Q5414,Немецкий дог,Германия,90,50,9
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,71,50,10
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,74,50,10
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,79,50,10
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,81,50,10
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,71,40,13
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,74,40,13
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,79,40,13
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,81,40,13
http://www.wikidata.org/entity/Q38280,Немецкая овчарка,Германия,55,40,10
http://www.wikidata.org/entity/Q38280,Немецкая овчарка,Германия,60,40,10
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,71,40,10
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,74,40,10
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,79,40,10
http://www.wikidata.org/entity/Q37541,Анатолийская овчарка,Турция,81,40,10
http://www.wikidata.org/entity/Q21206,Аляскинский маламут,Аляска,58.5,38,10
http://www.wikidata.org/entity/Q21206,Аляскинский маламут,Аляска,58.5,38,12
http://www.wikidata.org/entity/Q21206,Аляскинский маламут,Аляска,63.5,38,10
http://www.wikidata.org/entity/Q21206,Аляскинский маламут,Аляска,63.5,38,12
http://www.wikidata.org/entity/Q37494,Стародатский пойнтер,Дания,52,35,13
http://www.wikidata.org/entity/Q37494,Стародатский пойнтер,Дания,56,35,13
http://www.wikidata.org/entity/Q37494,Стародатский пойнтер,Дания,52,35,12
http://www.wikidata.org/entity/Q37494,Стародатский пойнтер,Дания,56,35,12
http://www.wikidata.org/entity/Q37514,Американский фоксхаунд,США,53,34,13
http://www.wikidata.org/entity/Q37514,Американский фоксхаунд,США,56,34,13
http://www.wikidata.org/entity/Q37514,Американский фоксхаунд,США,61,34,13
http://www.wikidata.org/entity/Q37514,Американский фоксхаунд,США,63.5,34,13
http://www.wikidata.org/entity/Q21206,Аляскинский маламут,Аляска,58.5,34,10
http://www.wikidata.org/entity/Q21206,Аляскинский маламут,Аляска,58.5,34,12
http://www.wikidata.org/entity/Q21206,Аляскинский маламут,Аляска,63.5,34,10
http://www.wikidata.org/entity/Q21206,Аляскинский маламут,Аляска,63.5,34,12
http://www.wikidata.org/entity/Q37514,Американский фоксхаунд,США,53,34,11
http://www.wikidata.org/entity/Q37514,Американский фоксхаунд,США,56,34,11
http://www.wikidata.org/entity/Q37514,Американский фоксхаунд,США,61,34,11
http://www.wikidata.org/entity/Q37514,Американский фоксхаунд,США,63.5,34,11
http://www.wikidata.org/entity/Q37666,Q37666,Чехия,58,34,12
http://www.wikidata.org/entity/Q37666,Q37666,Чехия,60,34,12
http://www.wikidata.org/entity/Q37666,Q37666,Чехия,62,34,12
http://www.wikidata.org/entity/Q37666,Q37666,Чехия,66,34,12
http://www.wikidata.org/entity/Q37716,Бассет-хаунд,Франция,33,32,11.5
http://www.wikidata.org/entity/Q37716,Бассет-хаунд,Франция,38,32,11.5
http://www.wikidata.org/entity/Q38280,Немецкая овчарка,Германия,55,32,10
http://www.wikidata.org/entity/Q38280,Немецкая овчарка,Германия,60,32,10
